Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Rick Adduono,L,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,--,--
Kenny Agostino,L,L,10,1,1,2,-4,0,0.2,1,2,0,0,0,0,0,0,15,6.7,11:35,--
Peter Ahola,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,--,--
Tommy Albelin,L,D,339,12,59,71,-10,92,0.21,6,38,5,27,1,6,1,3,382,3.1,--,0
Akim Aliu,R,R,7,2,1,3,1,26,0.43,2,3,0,0,0,0,0,0,5,40,10:55,--
Jamie Allison,L,D,101,3,10,13,-4,163,0.13,3,11,0,0,0,2,0,1,49,6.1,--,0
Tony Amonte,L,R,161,24,48,72,-1,83,0.45,18,48,4,20,2,4,0,4,294,8.2,15:37,32.1
Erik Andersson,L,R,12,2,1,3,-4,8,0.25,2,3,0,0,0,0,0,0,11,18.2,10:17,47.3
Niklas Andersson,L,L,11,0,1,1,0,4,0.09,0,1,0,0,0,0,0,0,8,0,11:10,25
Rasmus Andersson,R,D,160,7,34,41,8,84,0.26,7,35,0,6,0,0,0,0,247,2.8,17:43,--
Bill Arnold,R,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,13:35,55.6
Brent Ashton,L,L,32,8,11,19,11,41,0.59,6,14,0,2,2,3,0,1,58,13.8,--,--
Adrian Aucoin,R,D,157,20,49,69,5,83,0.44,12,36,8,32,0,1,1,4,247,8.1,21:39,--
Anton Babchuk,R,D,104,10,28,38,19,26,0.37,3,23,6,14,1,1,0,2,140,7.1,15:01,--
Mikael Backlund,L,C,690,145,220,365,33,335,0.53,103,272,28,71,14,22,7,29,"1,574",9.2,16:48,48.2
Sven Baertschi,L,L,66,8,20,28,-5,22,0.42,7,24,1,4,0,0,0,0,79,10.1,12:34,100
Carter Bancks,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,14:41,--
Robin Bartel,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,--,--
Matt Bartkowski,L,D,42,1,4,5,-7,30,0.12,1,5,0,0,0,0,0,0,37,2.7,14:31,--
Bob Bassen,L,L,41,1,2,3,-13,35,0.07,1,3,0,0,0,0,0,0,47,2.1,12:36,40
Paul Baxter,R,D,209,16,39,55,35,568,0.26,14,53,1,1,1,1,0,2,224,7.1,--,--
Serge Beaudoin,L,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,--,--
Eddy Beers,L,L,226,87,105,192,23,232,0.85,52,135,35,57,0,0,1,7,524,16.6,--,--
Steve Begin,L,L,159,15,11,26,-15,214,0.16,13,24,1,1,1,1,0,3,163,9.2,8:44,52
Wade Belak,R,R,72,0,3,3,-3,224,0.04,0,3,0,0,0,0,0,0,21,0,7:45,0
Curt Bennett,L,R,21,1,3,4,-6,0,0.19,1,4,0,0,0,0,0,0,23,4.4,--,--
Sam Bennett,L,C,364,63,65,128,-53,300,0.35,51,105,12,22,0,1,0,5,613,10.3,14:12,48.2
Perry Berezan,R,C,152,31,42,73,45,154,0.48,25,64,0,0,6,9,0,5,279,11.1,--,--
Jonas Bergqvist,L,R,22,2,5,7,10,10,0.32,2,7,0,0,0,0,0,0,30,6.7,--,--
Todd Bertuzzi,L,R,66,15,29,44,-13,74,0.67,9,28,6,16,0,0,1,4,127,11.8,18:36,46.7
Craig Berube,L,L,234,10,17,27,-17,628,0.12,9,26,1,1,0,0,0,3,140,7.1,--,41.8
Blair Betts,L,C,35,3,5,8,1,12,0.23,2,7,1,1,0,0,0,2,41,7.3,11:29,53.4
Chad Billins,L,D,10,0,3,3,-3,0,0.3,0,3,0,0,0,0,0,0,3,0,12:13,--
