Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Rick Adduono,L,C,3.00,0.00,0.00,0.00,-1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,--,--
Kenny Agostino,L,L,10.00,1.00,1.00,2.00,-4.00,0.00,0.20,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,6.7,11:35,--
Peter Ahola,L,D,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,--,--
Tommy Albelin,L,D,339.00,12.00,59.00,71.00,-10.00,92.00,0.21,6.00,38.00,5.00,27.00,1.00,6.00,1.00,3.00,382.00,3.1,--,0
Akim Aliu,R,R,7.00,2.00,1.00,3.00,1.00,26.00,0.43,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,40,10:55,--
Jamie Allison,L,D,101.00,3.00,10.00,13.00,-4.00,163.00,0.13,3.00,11.00,0.00,0.00,0.00,2.00,0.00,1.00,49.00,6.1,--,0
Tony Amonte,L,R,161.00,24.00,48.00,72.00,-1.00,83.00,0.45,18.00,48.00,4.00,20.00,2.00,4.00,0.00,4.00,294.00,8.2,15:37,32.1
Erik Andersson,L,R,12.00,2.00,1.00,3.00,-4.00,8.00,0.25,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,18.2,10:17,47.3
Niklas Andersson,L,L,11.00,0.00,1.00,1.00,0.00,4.00,0.09,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0,11:10,25
Rasmus Andersson,R,D,160.00,7.00,34.00,41.00,8.00,84.00,0.26,7.00,35.00,0.00,6.00,0.00,0.00,0.00,0.00,247.00,2.8,17:43,--
Bill Arnold,R,C,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,13:35,55.6
Brent Ashton,L,L,32.00,8.00,11.00,19.00,11.00,41.00,0.59,6.00,14.00,0.00,2.00,2.00,3.00,0.00,1.00,58.00,13.8,--,--
Adrian Aucoin,R,D,157.00,20.00,49.00,69.00,5.00,83.00,0.44,12.00,36.00,8.00,32.00,0.00,1.00,1.00,4.00,247.00,8.1,21:39,--
Anton Babchuk,R,D,104.00,10.00,28.00,38.00,19.00,26.00,0.37,3.00,23.00,6.00,14.00,1.00,1.00,0.00,2.00,140.00,7.1,15:01,--
Mikael Backlund,L,C,690.00,145.00,220.00,365.00,33.00,335.00,0.53,103.00,272.00,28.00,71.00,14.00,22.00,7.00,29.00,1574.00,9.2,16:48,48.2
Sven Baertschi,L,L,66.00,8.00,20.00,28.00,-5.00,22.00,0.42,7.00,24.00,1.00,4.00,0.00,0.00,0.00,0.00,79.00,10.1,12:34,100
Carter Bancks,L,L,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,14:41,--
Robin Bartel,L,D,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,--
Matt Bartkowski,L,D,42.00,1.00,4.00,5.00,-7.00,30.00,0.12,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,2.7,14:31,--
Bob Bassen,L,L,41.00,1.00,2.00,3.00,-13.00,35.00,0.07,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,2.1,12:36,40
Paul Baxter,R,D,209.00,16.00,39.00,55.00,35.00,568.00,0.26,14.00,53.00,1.00,1.00,1.00,1.00,0.00,2.00,224.00,7.1,--,--
Serge Beaudoin,L,D,3.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,--,--
Eddy Beers,L,L,226.00,87.00,105.00,192.00,23.00,232.00,0.85,52.00,135.00,35.00,57.00,0.00,0.00,1.00,7.00,524.00,16.6,--,--
Steve Begin,L,L,159.00,15.00,11.00,26.00,-15.00,214.00,0.16,13.00,24.00,1.00,1.00,1.00,1.00,0.00,3.00,163.00,9.2,8:44,52
Wade Belak,R,R,72.00,0.00,3.00,3.00,-3.00,224.00,0.04,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0,7:45,0
Curt Bennett,L,R,21.00,1.00,3.00,4.00,-6.00,0.00,0.19,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,4.4,--,--
Sam Bennett,L,C,364.00,63.00,65.00,128.00,-53.00,300.00,0.35,51.00,105.00,12.00,22.00,0.00,1.00,0.00,5.00,613.00,10.3,14:12,48.2
Perry Berezan,R,C,152.00,31.00,42.00,73.00,45.00,154.00,0.48,25.00,64.00,0.00,0.00,6.00,9.00,0.00,5.00,279.00,11.1,--,--
Jonas Bergqvist,L,R,22.00,2.00,5.00,7.00,10.00,10.00,0.32,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,6.7,--,--
Todd Bertuzzi,L,R,66.00,15.00,29.00,44.00,-13.00,74.00,0.67,9.00,28.00,6.00,16.00,0.00,0.00,1.00,4.00,127.00,11.8,18:36,46.7
Craig Berube,L,L,234.00,10.00,17.00,27.00,-17.00,628.00,0.12,9.00,26.00,1.00,1.00,0.00,0.00,0.00,3.00,140.00,7.1,--,41.8
Blair Betts,L,C,35.00,3.00,5.00,8.00,1.00,12.00,0.23,2.00,7.00,1.00,1.00,0.00,0.00,0.00,2.00,41.00,7.3,11:29,53.4
Chad Billins,L,D,10.00,0.00,3.00,3.00,-3.00,0.00,0.30,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0,12:13,--
Bob Bodak,L,L,3.00,0.00,0.00,0.00,-2.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,--
Ivan Boldirev,L,C,52.00,16.00,24.00,40.00,-1.00,20.00,0.77,15.00,32.00,1.00,8.00,0.00,0.00,0.00,2.00,116.00,13.8,--,--
Dan Bolduc,L,R,2.00,0.00,1.00,1.00,1.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0,--,--
Brandon Bollig,L,L,116.00,3.00,6.00,9.00,-19.00,191.00,0.08,3.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,2.4,8:55,62.5
Nikolai Borschevsky,L,R,8.00,0.00,5.00,5.00,7.00,0.00,0.63,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,0,--,--
Jason Botterill,L,L,6.00,1.00,0.00,1.00,-7.00,2.00,0.17,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,6.00,16.7,8:58,--
Joel Bouchard,L,D,126.00,9.00,12.00,21.00,-23.00,110.00,0.17,7.00,16.00,0.00,2.00,2.00,3.00,0.00,1.00,112.00,8,--,--
Bob Boughner,R,D,148.00,5.00,18.00,23.00,14.00,296.00,0.16,5.00,20.00,0.00,2.00,0.00,1.00,0.00,1.00,120.00,4.2,19:07,--
Lance Bouma,L,L,304.00,27.00,40.00,67.00,-8.00,174.00,0.22,26.00,62.00,0.00,1.00,1.00,4.00,0.00,5.00,323.00,8.4,12:04,34
