Player,Hand,Pos,GamesPlayed,G,A,P,PlusMinus,PenaltyMins,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,Intials,GoalsPerGame,GoalsNorm,GWGNorm,PIMNorm,PluMinNorm,AvGPGNorm,Rating
Jarome Iginla,R,R,1219,525,570,1095,46,831,0.9,351,708,161,365,13,22,6,83,3992,JI,0.430680886,1,1,0.342248224,0.339041096,0.766864685,0.838296229
Theo Fleury,R,R,791,364,466,830,148,1339,1.05,229,508,107,281,28,41,5,53,2685,TF,0.460176991,0.692748092,0.638554217,0.554534058,0.688356164,0.820528193,0.605856383
Joe Nieuwendyk,L,C,577,314,302,616,135,330,1.07,173,369,130,234,11,13,3,43,1549,JN,0.544194107,0.597328244,0.518072289,0.132887589,0.643835616,0.973384076,0.681545082
Gary Roberts,L,L,585,257,248,505,225,1736,0.86,199,400,51,96,7,9,3,27,1254,GR,0.439316239,0.488549618,0.325301205,0.720434601,0.952054795,0.782575348,0.380448783
Kent Nilsson,L,C,425,229,333,562,-34,90,1.32,134,312,79,227,16,23,1,25,1136,KN,0.538823529,0.435114504,0.301204819,0.032595069,0.065068493,0.963613157,0.573040109
Lanny McDonald,R,R,492,215,191,406,-3,408,0.83,153,278,61,127,1,1,0,25,1322,LMD,0.43699187,0.408396947,0.301204819,0.165482658,0.171232877,0.778346524,0.469684182
Al MacInnis,R,D,803,213,609,822,239,960,1.02,107,325,102,481,4,16,1,22,2891,AMI,0.265255293,0.404580153,0.265060241,0.396155453,1,0.465898927,0.280116616
Sean Monahan,L,C,541,194,217,411,-25,119,0.76,135,287,57,121,2,3,11,40,1306,SM,0.358595194,0.368320611,0.481927711,0.044713748,0.095890411,0.635716146,0.523139625
Hakan Loob,L,R,450,193,236,429,103,189,0.95,142,293,42,117,9,19,1,17,1126,HL,0.428888889,0.366412214,0.204819277,0.073965733,0.534246575,0.763604429,0.429699485
Joe Mullen,R,R,345,190,198,388,106,95,1.12,133,250,53,133,4,5,0,33,978,JM,0.550724638,0.360687023,0.397590361,0.034684496,0.544520548,0.985265345,0.622033122
Joel Otto,R,C,730,167,261,428,44,1642,0.59,101,285,57,124,9,19,1,23,1108,JO,0.228767123,0.316793893,0.277108434,0.681153364,0.332191781,0.399514462,0.193808718
Jim Peplinski,R,L,711,161,263,424,52,1467,0.6,148,395,5,17,8,12,2,22,1269,JP,0.226441632,0.305343511,0.265060241,0.608023402,0.359589041,0.395283597,0.19957323
Robert Reichel,L,C,425,153,201,354,59,216,0.83,105,227,48,127,0,0,2,22,1140,RR,0.36,0.290076336,0.265060241,0.085248642,0.383561644,0.638271969,0.399796813
Johnny Gaudreau,L,L,464,151,294,445,19,100,0.96,118,318,33,127,0,0,7,27,1248,JG,0.325431034,0.286259542,0.325301205,0.036773924,0.246575342,0.575379192,0.414073449
Mikael Backlund,L,C,690,145,220,365,33,335,0.53,103,272,28,71,14,22,7,29,1574,MB,0.210144928,0.27480916,0.34939759,0.134977016,0.294520548,0.365634316,0.321438034
Mark Giordano,L,D,893,134,349,483,96,745,0.54,76,288,48,173,10,22,7,21,1887,MG,0.150055991,0.253816794,0.253012048,0.306310071,0.510273973,0.25631198,0.193150481
Gary Suter,L,D,617,128,436,564,93,872,0.91,71,245,54,310,3,9,0,12,1739,GS,0.207455429,0.242366412,0.144578313,0.359381529,0.5,0.360741199,0.168945971
Daymond Langkow,L,C,392,123,165,288,47,159,0.73,80,174,40,104,3,10,1,22,912,DL,0.31377551,0.232824427,0.265060241,0.061429168,0.342465753,0.554173805,0.365196252
Curtis Glencross,L,L,418,114,128,242,2,290,0.58,84,182,22,49,8,11,0,18,784,CG,0.272727273,0.215648855,0.21686747,0.116172169,0.188356164,0.479493016,0.298561393
